BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;36;3;552;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;36;25;2384;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;36;190;9780;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;36;694;40288;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;36;1036;163220;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;36;5308;655500;
OpenMP Loop;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;36;41889;2628352;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;8;0.15;1889;36;3;552;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;16;0.15;1889;36;38;2384;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;32;0.15;1889;36;180;9780;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;64;0.15;1889;36;299;40288;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;128;0.15;1889;36;458;163220;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;256;0.15;1889;36;2254;655500;
Octree;/home/xpoucp01/AVS_parallerisation/scripts/../data/bun_zipper_res3.pts;;512;0.15;1889;36;13926;2628352;
